nohup: ignoring input
[2026-08-03 15:09:31,363: INFO/MainProcess] beat: Starting...
[2026-08-03 15:17:32,663: INFO/MainProcess] Task app.tasks.snmp_poll_task[05803fea-8d63-48d9-bece-4f432c33912b] succeeded in 1.2492169050019584s: 'green'
[2026-08-03 15:17:34,008: INFO/MainProcess] Task app.tasks.snmp_poll_task[dfa13c65-d2ea-4576-8bf1-1ed2ff58601d] succeeded in 1.3447751870007778s: 'green'
[2026-08-03 15:17:35,357: INFO/MainProcess] Task app.tasks.snmp_poll_task[588a6ec4-b580-41d5-97c5-09b65dbcfc99] succeeded in 1.347928781000519s: 'green'
[2026-08-03 15:17:35,357: INFO/MainProcess] Task app.tasks.run_snmp_poll_sweep_task[2742b112-b606-4f72-afe6-48688834e627] succeeded in 3.9470708899971214s: 3
[2026-08-03 15:18:31,410: INFO/MainProcess] Scheduler: Sending due task snmp-poll-sweep (app.tasks.run_snmp_poll_sweep_task)
[2026-08-03 15:18:32,871: INFO/MainProcess] Task app.tasks.snmp_poll_task[c4e5a8c5-58b3-46db-8150-a8fa0d82b7ce] succeeded in 1.4572690130007686s: 'green'
[2026-08-03 15:18:34,238: INFO/MainProcess] Task app.tasks.snmp_poll_task[8e53a4ab-0b2a-4149-8b57-7ce552ae8806] succeeded in 1.366917834002379s: 'green'
[2026-08-03 15:18:35,620: INFO/MainProcess] Task app.tasks.snmp_poll_task[4e5e6a2e-6003-472e-8ac5-8e5c0d62b8cc] succeeded in 1.3810622130004049s: 'green'
[2026-08-03 15:18:35,620: INFO/MainProcess] Task app.tasks.run_snmp_poll_sweep_task[bd348875-4e59-4463-8b58-f4244d6a49c7] succeeded in 4.210132095002336s: 3
[2026-08-03 15:19:31,410: INFO/MainProcess] Scheduler: Sending due task snmp-poll-sweep (app.tasks.run_snmp_poll_sweep_task)
[2026-08-03 15:19:32,804: INFO/MainProcess] Task app.tasks.snmp_poll_task[aaa71f03-d8ca-4017-b373-fc329381b1ff] succeeded in 1.3903207610019308s: 'green'
[2026-08-03 15:19:34,147: INFO/MainProcess] Task app.tasks.snmp_poll_task[8aa4739d-34d3-4b28-ab39-c17bf6a79984] succeeded in 1.341530158999376s: 'green'
[2026-08-03 15:19:35,508: INFO/MainProcess] Task app.tasks.snmp_poll_task[94494cf5-766c-4630-89a6-eb25747ea1b4] succeeded in 1.3603776589989138s: 'green'
[2026-08-03 15:19:35,508: INFO/MainProcess] Task app.tasks.run_snmp_poll_sweep_task[f703991a-25b4-4e3f-a19e-b14b3d9a3c8e] succeeded in 4.098055370999646s: 3
[2026-08-03 15:20:31,410: INFO/MainProcess] Scheduler: Sending due task snmp-poll-sweep (app.tasks.run_snmp_poll_sweep_task)
[2026-08-03 15:20:32,794: INFO/MainProcess] Task app.tasks.snmp_poll_task[d283a762-5368-4edf-93a1-e287b07b2f3a] succeeded in 1.3799732019979274s: 'green'
[2026-08-03 15:20:34,092: INFO/MainProcess] Task app.tasks.snmp_poll_task[2e05804b-eb00-44f1-b513-79ad8a5f9254] succeeded in 1.297513767000055s: 'green'
[2026-08-03 15:20:35,455: INFO/MainProcess] Task app.tasks.snmp_poll_task[825b14fe-2025-4884-bfb1-acfe85e4b5fd] succeeded in 1.362578565000149s: 'green'
[2026-08-03 15:20:35,455: INFO/MainProcess] Task app.tasks.run_snmp_poll_sweep_task[bc33c59b-e9ba-4959-bed8-fca17a7e66a0] succeeded in 4.044938192997506s: 3
[2026-08-03 15:21:31,410: INFO/MainProcess] Scheduler: Sending due task snmp-poll-sweep (app.tasks.run_snmp_poll_sweep_task)
[2026-08-03 15:21:32,768: INFO/MainProcess] Task app.tasks.snmp_poll_task[9972bbcd-8575-40da-beaf-4d67dbb2c44d] succeeded in 1.3533939680019103s: 'green'
[2026-08-03 15:21:34,265: INFO/MainProcess] Task app.tasks.snmp_poll_task[3f3cab24-47de-41a4-8eb0-92f3a447b4cc] succeeded in 1.4969769780000206s: 'green'
[2026-08-03 15:21:35,707: INFO/MainProcess] Task app.tasks.snmp_poll_task[73e60019-916a-45c0-9485-e3a2a8cd7a14] succeeded in 1.4417378329999337s: 'green'
[2026-08-03 15:21:35,708: INFO/MainProcess] Task app.tasks.run_snmp_poll_sweep_task[a5bc04ec-ba4a-4c25-991a-aef89f24ad55] succeeded in 4.297212448000209s: 3
[2026-08-03 15:22:31,410: INFO/MainProcess] Scheduler: Sending due task snmp-poll-sweep (app.tasks.run_snmp_poll_sweep_task)
[2026-08-03 15:22:32,902: INFO/MainProcess] Task app.tasks.snmp_poll_task[726810eb-dc9f-4c15-97bc-8057ea7fdfec] succeeded in 1.488118700999621s: 'green'
[2026-08-03 15:22:34,307: INFO/MainProcess] Task app.tasks.snmp_poll_task[1e99ffaa-d9b8-4d21-8dab-ada0222a5424] succeeded in 1.4040970690002723s: 'green'
[2026-08-03 15:22:35,697: INFO/MainProcess] Task app.tasks.snmp_poll_task[e1360722-ecaa-4e9a-80bd-08b1fa3b66f3] succeeded in 1.3901608699998178s: 'green'
[2026-08-03 15:22:35,697: INFO/MainProcess] Task app.tasks.run_snmp_poll_sweep_task[0e5ebbbc-8936-495f-b770-3b7f6132f104] succeeded in 4.287062052000692s: 3
[2026-08-03 15:23:31,410: INFO/MainProcess] Scheduler: Sending due task snmp-poll-sweep (app.tasks.run_snmp_poll_sweep_task)
[2026-08-03 15:23:32,814: INFO/MainProcess] Task app.tasks.snmp_poll_task[e54c95de-a773-44f8-8f51-cea2a9ea2a2f] succeeded in 1.3988636450012564s: 'green'
[2026-08-03 15:23:34,234: INFO/MainProcess] Task app.tasks.snmp_poll_task[404a0cad-de77-484a-be2d-719899c8f9cd] succeeded in 1.419870030000311s: 'green'
[2026-08-03 15:23:35,647: INFO/MainProcess] Task app.tasks.snmp_poll_task[c7f23d65-33fb-4594-af04-4c69d0e0d3f0] succeeded in 1.4122326130018337s: 'green'
[2026-08-03 15:23:35,647: INFO/MainProcess] Task app.tasks.run_snmp_poll_sweep_task[93da4150-89dd-47ee-998b-8d17df138909] succeeded in 4.2367525230001775s: 3
[2026-08-03 15:24:31,410: INFO/MainProcess] Scheduler: Sending due task snmp-poll-sweep (app.tasks.run_snmp_poll_sweep_task)
[2026-08-03 15:24:32,670: INFO/MainProcess] Task app.tasks.snmp_poll_task[0895ae23-c73a-4367-83f4-050408da2a19] succeeded in 1.2563454910014116s: 'green'
[2026-08-03 15:24:34,078: INFO/MainProcess] Task app.tasks.snmp_poll_task[3b83ff45-823e-4ce0-9c9d-9e5aa5d0174b] succeeded in 1.4064550740004051s: 'green'
[2026-08-03 15:24:35,415: INFO/MainProcess] Task app.tasks.snmp_poll_task[8c99797f-3fbc-4746-94be-25600301ab6c] succeeded in 1.336390147000202s: 'green'
[2026-08-03 15:24:35,415: INFO/MainProcess] Task app.tasks.run_snmp_poll_sweep_task[471071ac-4812-486c-9829-ae96f670e37c] succeeded in 4.004621379997843s: 3
[2026-08-03 15:25:31,410: INFO/MainProcess] Scheduler: Sending due task snmp-poll-sweep (app.tasks.run_snmp_poll_sweep_task)
[2026-08-03 15:25:32,898: INFO/MainProcess] Task app.tasks.snmp_poll_task[1563a5e5-67e1-45bc-8995-fcea3424f7b6] succeeded in 1.482788076998986s: 'green'
[2026-08-03 15:25:34,323: INFO/MainProcess] Task app.tasks.snmp_poll_task[72e247da-d4f9-410e-9662-bda157adef55] succeeded in 1.4246874669988756s: 'green'
[2026-08-03 15:25:35,729: INFO/MainProcess] Task app.tasks.snmp_poll_task[f1ee6142-2bca-42e4-8fa4-f209da02a8d4] succeeded in 1.4059419900004286s: 'green'
[2026-08-03 15:25:35,730: INFO/MainProcess] Task app.tasks.run_snmp_poll_sweep_task[0f6a3ddf-a767-4785-ba07-44e6e9caa4d8] succeeded in 4.318954083999415s: 3
[2026-08-03 15:26:31,410: INFO/MainProcess] Scheduler: Sending due task snmp-poll-sweep (app.tasks.run_snmp_poll_sweep_task)
[2026-08-03 15:26:32,808: INFO/MainProcess] Task app.tasks.snmp_poll_task[ea4ff29b-9eaf-48a1-9a8f-3e46e4ae459f] succeeded in 1.3947767299978295s: 'green'
[2026-08-03 15:26:34,147: INFO/MainProcess] Task app.tasks.snmp_poll_task[59c83d7f-ba82-428b-890c-17e745dd63b1] succeeded in 1.3385508989995287s: 'green'
[2026-08-03 15:26:35,481: INFO/MainProcess] Task app.tasks.snmp_poll_task[2b903d43-07c5-4105-84c0-31449f374469] succeeded in 1.333159417998104s: 'green'
[2026-08-03 15:26:35,481: INFO/MainProcess] Task app.tasks.run_snmp_poll_sweep_task[204dd419-7543-411f-881b-47fc8b443899] succeeded in 4.070695819998946s: 3
[2026-08-03 15:27:31,410: INFO/MainProcess] Scheduler: Sending due task snmp-poll-sweep (app.tasks.run_snmp_poll_sweep_task)
[2026-08-03 15:27:32,864: INFO/MainProcess] Task app.tasks.snmp_poll_task[f79584ea-817f-4f8f-9888-54c8e1ea50f8] succeeded in 1.4488421540008858s: 'green'
[2026-08-03 15:27:34,362: INFO/MainProcess] Task app.tasks.snmp_poll_task[41e9d108-5718-46bc-8e5e-064627f49f96] succeeded in 1.4975923980018706s: 'green'
[2026-08-03 15:27:35,909: INFO/MainProcess] Task app.tasks.snmp_poll_task[d0331de4-b2fb-4931-8c09-f9ab9e36374b] succeeded in 1.5456912510016991s: 'green'
